,name,resource,category,homepage,description,projectrank,show,labels,license,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,closed_issue_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,docs_url,label,gitlab_id,gitlab_url,ignore
0,Atomic Cluster Expansion,True,community,https://cortner.github.io/ACEweb/,Atomic Cluster Expansion (ACE) community homepage.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,crystals.ai,True,datasets,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,sGDML Datasets,True,datasets,http://sgdml.org/#datasets,,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,QM7,True,datasets,http://quantum-machine.org/datasets/,This dataset is a subset of GDB-13 (a database of nearly 1 billion stable and synthetically accessible organic..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,QM7b,True,datasets,http://quantum-machine.org/datasets/,This dataset is an extension of the QM7 dataset for multitask learning where 13 additional properties (e.g...,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,QM9,True,datasets,http://quantum-machine.org/datasets/,"We report computed geometric, energetic, electronic, and thermodynamic properties for 134k stable small organic..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,QM8,True,datasets,http://quantum-machine.org/datasets/,Dataset with low-lying singlet-singlet vertical electronic spectra of over 20000 synthetically feasible small organic..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,MD Trajectories of small molecules,True,datasets,http://quantum-machine.org/datasets/,The molecular dynamics (MD) datasets in this package range in size from 150k to nearly 1M conformational geometries.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,MD Trajectories of C7O2H10,True,datasets,http://quantum-machine.org/datasets/,This data set consists of molecular dynamics trajectories of 113 randomly selected C7O2H10 isomers calculated at a..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Datasets including densities,True,datasets,http://quantum-machine.org/datasets/,These datasets contain not only molecular geometries and energies but also valence densities.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,ISO17,True,datasets,http://quantum-machine.org/datasets/,MD Trajectories of C7O2H10 with total energies and atomic forces.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,SN2 reactions,True,datasets,http://quantum-machine.org/datasets/,Chemical reactions of methyl halides with halide anions.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Solvated protein fragments,True,datasets,http://quantum-machine.org/datasets/,Contains structures for all possible amons (hydrogen-saturated covalently bonded fragments) of up to eight heavy atoms..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Molecules generated with G-SchNet,True,datasets,http://quantum-machine.org/datasets/,Molecules generated with the G-SchNet architecture trainined on 50k randomly selected structures from QM9. Both..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MQMspin database,True,datasets,http://quantum-machine.org/datasets/,This data set contains a sample of approx. 5k singlet state and approx. 8k triplet state carbene structures drawn from..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Molecular Hamiltonians and overlap matrices ,True,datasets,http://quantum-machine.org/datasets/,"Datasets containing structures, energies, forces, Hamiltonians (Fock or Kohn-Sham matrices) and overlap matrices for..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,tmQM Dataset,True,datasets,http://quantum-machine.org/datasets/,The transition metal quantum mechanics dataset (tmQM) contains the geometries and properties of a chemical compound..,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Densities dataset,True,datasets,http://quantum-machine.org/datasets/,"These datasets contain molecular geometries, coupled-cluster energies, DFT energies, and valence electron densities..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Molecular response properties in implicit and explicit solvent environments,True,datasets,http://quantum-machine.org/datasets/,"These datasets contain structures, energies, forces and various response properties (dipole moment, polarizability..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Pretrained OCP models,True,mlp,https://github.com/Open-Catalyst-Project/ocp/blob/main/MODELS.md,Pretrained models released as part of the Open Catalyst Project.,0,True,['pretrained'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
