,name,resource,category,description,homepage,projectrank,show,labels,license,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,docs_url,gitlab_id,gitlab_url,ignore
0,Catalysis Hub,True,datasets,A web-platform for sharing data and software for computational catalysis research!.,https://www.catalysis-hub.org/,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,crystals.ai,True,datasets,Curated datasets for reproducible AI in materials science.,https://crystals.ai/,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,DeepChem Models,True,datasets,,https://huggingface.co/DeepChem,0,True,"['pre-trained', 'lm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,JARVIS-Leaderboard,True,datasets,This project provides benchmark-performances for materials science applications including Artificial Intelligence..,https://pages.nist.gov/jarvis_leaderboard/,0,True,['benchmarking'],https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2023-08-16 14:30:48.000000,2023-08-16 14:26:39,673.0,209.0,24.0,5.0,228.0,4.0,2.0,39.0,2023-08-04 17:33:22,2023.08.01,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,
4,matterverse.ai,True,datasets,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,https://matterverse.ai/,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Quantum-Machine.org Datasets,True,datasets,"Collection of datasets, including QM7, QM7b, QM8, QM9, molecular geometries, MD trajectories, DFT charge densities,..",http://quantum-machine.org/datasets/,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sGDML Datasets,True,datasets,,http://sgdml.org/#datasets,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Atomic Cluster Expansion,True,community,Atomic Cluster Expansion (ACE) community homepage.,https://cortner.github.io/ACEweb/,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pre-trained OCP models,True,mliap,Pre-trained models released as part of the Open Catalyst Project.,https://github.com/Open-Catalyst-Project/ocp/blob/main/MODELS.md,0,True,['pre-trained'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PyG Models,True,rep-learn,Representation learning models implemented in PyTorch Geometric.,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Quantum Chemistry in the Age of Machine Learning,True,educational,,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Deep Graph Library (DGL),,rep-learn,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",https://github.com/dmlc/dgl,38,True,,Apache-2.0,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2023-08-23 11:15:43.000000,2023-08-23 10:21:20,3333.0,279.0,2789.0,170.0,3865.0,303.0,2023.0,12109.0,2023-08-15 07:31:40,1.1.2,75.0,273.0,dgl,dglteam/dgl,136.0,136.0,https://pypi.org/project/dgl,115427.0,120408.0,https://anaconda.org/dglteam/dgl,2023-08-17 01:25:44.402,278937.0,1.0,,,,,,,,,,,,,
12,DeepChem,,general-tool,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",https://github.com/deepchem/deepchem,36,True,,MIT,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2023-08-23 16:02:24.000000,2023-08-23 16:02:24,9194.0,308.0,1450.0,148.0,1924.0,411.0,1204.0,4548.0,2022-12-01 13:22:37,2.7.1,18.0,224.0,deepchem,conda-forge/deepchem,244.0,244.0,https://pypi.org/project/deepchem,10815.0,13328.0,https://anaconda.org/conda-forge/deepchem,2023-06-16 19:18:02.015,102505.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2022-03-11 05:24:00.723691,4.0,6948.0,,,,,,,,
13,RDKit,,general-tool,,https://github.com/rdkit/rdkit,30,True,['lang-cpp'],BSD-3-Clause,rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2023-08-23 11:17:52.000000,2023-08-23 04:32:06,7455.0,70.0,750.0,85.0,2783.0,846.0,2023.0,2161.0,2023-08-17 05:41:56,Release_2023_03_3,95.0,201.0,rdkit,rdkit/rdkit,2.0,2.0,https://pypi.org/project/rdkit,192773.0,215700.0,https://anaconda.org/rdkit/rdkit,2023-06-16 12:54:07.547,2520857.0,1.0,,,,,,1397.0,,,,,,,
