,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
0,AI for Science Map,True,community,GPL-3.0 license,https://www.air4.science/map,"Interactive mindmap of the AI4Science research field, including atomistic machine learning, including papers,..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atomic Cluster Expansion,True,community,,https://cortner.github.io/ACEweb/,Atomic Cluster Expansion (ACE) community homepage.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CrystaLLM,True,community,https://materialis.ai/terms.html,https://crystallm.com,Generate a crystal structure from a composition.,0,True,"['lm', 'generative', 'pre-trained']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,matsci.org,True,community,,https://matsci.org/,"A community forum for the discussion of anything materials science, with a focus on computational materials science..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matter Modeling Stack Exchange - Machine Learning,True,community,,https://mattermodeling.stackexchange.com/questions/tagged/machine-learning,"Forum StackExchange, site Matter Modeling, ML-tagged questions.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Catalysis Hub,True,datasets,,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Citrination Datasets,True,datasets,MIT,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,crystals.ai,True,datasets,,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DeepChem Models,True,datasets,,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,"['pre-trained', 'lm']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JARVIS-Leaderboard,True,datasets,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,https://pages.nist.gov/jarvis_leaderboard/,This project provides benchmark-performances for materials science applications including Artificial Intelligence..,0,True,['benchmarking'],usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2023-11-27 01:50:42.000,2023-10-13 13:39:27,706.0,30.0,26.0,6.0,275.0,4.0,2.0,41.0,2023-08-04 17:33:22,2023.08.01,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Materials Project - Charge Densities,True,datasets,,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,matterverse.ai,True,datasets,,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Quantum-Machine.org Datasets,True,datasets,,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sGDML Datasets,True,datasets,,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Quantum Chemistry in the Age of Machine Learning,True,educational,,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Deep Graph Library (DGL),,rep-learn,Apache-2.0,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",38,True,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2023-11-30 16:09:19.000,2023-11-30 04:54:11,3645.0,277.0,2827.0,171.0,4201.0,320.0,2118.0,12491.0,2023-08-15 07:31:40,1.1.2,76.0,281.0,dgl,dglteam/dgl,165.0,165.0,https://pypi.org/project/dgl,68207.0,73321.0,https://anaconda.org/dglteam/dgl,2023-09-14 15:04:21.699,301779.0,1.0,,,,,,,,,,,,,,,,,
16,DeepChem,,general-tool,MIT,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",36,True,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2023-11-30 18:07:26.000,2023-11-27 17:16:11,9697.0,428.0,1477.0,146.0,2050.0,429.0,1211.0,4748.0,2022-12-01 13:22:37,2.7.1,18.0,230.0,deepchem,conda-forge/deepchem,286.0,286.0,https://pypi.org/project/deepchem,17391.0,19778.0,https://anaconda.org/conda-forge/deepchem,2023-06-16 19:18:02.015,104230.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2022-03-11 05:24:00.723691,4.0,7023.0,,,,,,,,,,,,
17,PyG Models,,rep-learn,MIT,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,30,True,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2023-11-30 15:28:15.000,2023-11-30 14:50:00,7164.0,240.0,3330.0,253.0,2585.0,754.0,2504.0,19032.0,2023-10-12 08:28:59,2.4.0,36.0,468.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
18,RDKit,,general-tool,BSD-3-Clause,https://github.com/rdkit/rdkit,,30,True,['lang-cpp'],rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2023-11-30 16:31:49.000,2023-11-30 13:58:19,7549.0,83.0,774.0,85.0,2893.0,874.0,2080.0,2256.0,2023-11-10 06:45:02,Release_2023_09_2,98.0,207.0,rdkit,rdkit/rdkit,2.0,2.0,https://pypi.org/project/rdkit,347636.0,370181.0,https://anaconda.org/rdkit/rdkit,2023-06-16 12:54:07.547,2546421.0,1.0,,,,,,1407.0,,,,,,,,,,,
19,DeePMD-kit,,ml-iap,LGPL-3.0,https://github.com/deepmodeling/deepmd-kit,A deep learning package for many-body potential energy representation and molecular dynamics.,28,True,['lang-cpp'],deepmodeling/deepmd-kit,https://github.com/deepmodeling/deepmd-kit,2017-12-12 15:23:44,2023-11-30 09:46:20.000,2023-10-27 13:10:24,2353.0,112.0,437.0,46.0,1372.0,25.0,451.0,1266.0,2023-10-27 19:33:04,2.2.7,41.0,64.0,deepmd-kit,deepmodeling/deepmd-kit,12.0,12.0,https://pypi.org/project/deepmd-kit,1045.0,1683.0,https://anaconda.org/deepmodeling/deepmd-kit,2023-10-27 21:14:49.194,353.0,1.0,deepmodeling/deepmd-kit,https://hub.docker.com/r/deepmodeling/deepmd-kit,2023-10-29 23:31:03.651515,1.0,2028.0,28951.0,,,,,,,,,,,
20,Matminer,,general-tool,https://github.com/hackingmaterials/matminer/blob/main/LICENSE,https://github.com/hackingmaterials/matminer,Data mining for materials science.,28,True,,hackingmaterials/matminer,https://github.com/hackingmaterials/matminer,2015-09-24 20:37:00,2023-11-27 08:05:39.000,2023-11-10 10:02:34,4112.0,4.0,175.0,28.0,701.0,27.0,187.0,418.0,2023-06-27 15:36:52,0.9.0,66.0,50.0,matminer,conda-forge/matminer,252.0,252.0,https://pypi.org/project/matminer,14554.0,15993.0,https://anaconda.org/conda-forge/matminer,2023-10-24 08:40:46.186,53273.0,1.0,,,,,,,,,,,,,,,,,
