,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,maven_id,maven_url,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,gitlab_id,gitlab_url,ignore,docs_url
0,AI for Science Map,True,community,GPL-3.0 license,https://www.air4.science/map,"Interactive mindmap of the AI4Science research field, including atomistic machine learning, including papers,..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atomic Cluster Expansion,True,community,,https://cortner.github.io/ACEweb/,Atomic Cluster Expansion (ACE) community homepage.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CrystaLLM,True,community,https://materialis.ai/terms.html,https://crystallm.com,Generate a crystal structure from a composition.,0,True,"['language-models', 'generative', 'pre-trained', 'transformer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,matsci.org,True,community,,https://matsci.org/,"A community forum for the discussion of anything materials science, with a focus on computational materials science..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matter Modeling Stack Exchange - Machine Learning,True,community,,https://mattermodeling.stackexchange.com/questions/tagged/machine-learning,"Forum StackExchange, site Matter Modeling, ML-tagged questions.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Catalysis Hub,True,datasets,,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Citrination Datasets,True,datasets,MIT,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,crystals.ai,True,datasets,,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DeepChem Models,True,datasets,,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,"['pre-trained', 'language-models']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JARVIS-Leaderboard,True,datasets,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,https://pages.nist.gov/jarvis_leaderboard/,This project provides benchmark-performances for materials science applications including Artificial Intelligence..,0,True,['benchmarking'],usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2023-11-27 01:50:42.000,2023-10-13 13:39:27,706.0,16.0,26.0,6.0,275.0,4.0,2.0,41.0,2023-08-04 17:33:22,2023.08.01,21.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Materials Project - Charge Densities,True,datasets,,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,matterverse.ai,True,datasets,,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Quantum-Machine.org Datasets,True,datasets,,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,sGDML Datasets,True,datasets,,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,MoleculeNet,True,datasets,TBD,https://moleculenet.org/,,0,True,['benchmarking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ZINC15,True,datasets,,https://zinc15.docking.org/,,0,True,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ZINC,True,datasets,,https://zinc.docking.org/,,0,True,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,NRELMatDB,True,datasets,,https://materials.nrel.gov/,"Computational materials database with the specific focus on materials for renewable energy applications including, but..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantum Chemistry in the Age of Machine Learning,True,educational,,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AL4MS 2023 workshop tutorials,True,educational,,https://sites.utu.fi/al4ms2023/media-and-tutorials/,,0,True,['active-learning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Deep Graph Library (DGL),,rep-learn,Apache-2.0,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",38,True,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2023-12-06 09:03:16.000,2023-12-06 08:29:32,3670.0,279.0,2826.0,170.0,4232.0,335.0,2127.0,12520.0,2023-08-15 07:31:40,1.1.2,77.0,282.0,dgl,dglteam/dgl,167.0,167.0,https://pypi.org/project/dgl,72079.0,77127.0,https://anaconda.org/dglteam/dgl,2023-12-05 08:19:41.052,302893.0,1.0,,,,,,,,,,,,,,,,,
21,DeepChem,,general-tool,MIT,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",36,True,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2023-12-05 10:30:35.000,2023-12-01 17:26:24,9737.0,437.0,1477.0,146.0,2055.0,429.0,1211.0,4754.0,2022-12-01 13:22:37,2.7.1,18.0,230.0,deepchem,conda-forge/deepchem,286.0,286.0,https://pypi.org/project/deepchem,18932.0,21269.0,https://anaconda.org/conda-forge/deepchem,2023-06-16 19:18:02.015,104295.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2022-03-11 05:24:00.723691,4.0,7028.0,,,,,,,,,,,,
22,PyG Models,,rep-learn,MIT,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,30,True,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2023-12-06 13:08:45.000,2023-12-05 22:19:00,7194.0,258.0,3333.0,253.0,2618.0,760.0,2509.0,19090.0,2023-10-12 08:28:59,2.4.0,36.0,470.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
23,RDKit,,general-tool,BSD-3-Clause,https://github.com/rdkit/rdkit,,30,True,['lang-cpp'],rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2023-12-06 03:51:41.000,2023-12-04 19:33:13,7554.0,78.0,776.0,85.0,2895.0,873.0,2085.0,2262.0,2023-12-06 03:51:42,Release_2023_09_3,99.0,208.0,rdkit,rdkit/rdkit,2.0,2.0,https://pypi.org/project/rdkit,330977.0,353329.0,https://anaconda.org/rdkit/rdkit,2023-06-16 12:54:07.547,2546920.0,1.0,,,,,,1407.0,,,,,,,,,,,
