,name,resource,category,license,homepage,description,projectrank,show,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,github_release_downloads,updated_github_id,maven_id,maven_url,npm_id,npm_url,npm_monthly_downloads,trending,new_addition,gitlab_id,gitlab_url,ignore,docs_url
0,AI for Science Map,True,community,GPL-3.0 license,https://www.air4.science/map,"Interactive mindmap of the AI4Science research field, including atomistic machine learning, including papers,..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Atomic Cluster Expansion,True,community,,https://cortner.github.io/ACEweb/,Atomic Cluster Expansion (ACE) community homepage.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CrystaLLM,True,community,https://materialis.ai/terms.html,https://crystallm.com,Generate a crystal structure from a composition.,0,True,"['language-models', 'generative', 'pre-trained', 'transformer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,matsci.org,True,community,,https://matsci.org/,"A community forum for the discussion of anything materials science, with a focus on computational materials science..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Matter Modeling Stack Exchange - Machine Learning,True,community,,https://mattermodeling.stackexchange.com/questions/tagged/machine-learning,"Forum StackExchange, site Matter Modeling, ML-tagged questions.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Catalysis Hub,True,datasets,,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Citrination Datasets,True,datasets,MIT,https://citrination.com/,AI-Powered Materials Data Platform. Open Citrination has been decommissioned.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,crystals.ai,True,datasets,,https://crystals.ai/,Curated datasets for reproducible AI in materials science.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,DeepChem Models,True,datasets,,https://huggingface.co/DeepChem,DeepChem models on HuggingFace.,0,True,"['pre-trained', 'language-models']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,JARVIS-Leaderboard,True,datasets,https://github.com/usnistgov/jarvis_leaderboard/blob/main/LICENSE.rst,https://pages.nist.gov/jarvis_leaderboard/,Explore State-of-the-Art Materials Design Methods: https://www.nature.com/articles/s41524-024-01259-w.,0,True,['benchmarking'],usnistgov/jarvis_leaderboard,https://github.com/usnistgov/jarvis_leaderboard,2022-07-15 16:48:33,2024-06-04 05:11:48.000,2024-05-16 20:07:08,812.0,22.0,38.0,5.0,316.0,6.0,2.0,52.0,2024-05-16 16:20:41,2024.4.26,28.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Materials Project - Charge Densities,True,datasets,,https://materialsproject.org/ml/charge_densities,Materials Project has started offering charge density information available for download via their public API.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,matterverse.ai,True,datasets,,https://matterverse.ai/,Database of yet-to-be-sythesized materials predicted using state-of-the-art machine learning algorithms.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,NRELMatDB,True,datasets,,https://materials.nrel.gov/,"Computational materials database with the specific focus on materials for renewable energy applications including, but..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Quantum-Machine.org Datasets,True,datasets,,http://quantum-machine.org/datasets/,"Collection of datasets, including QM7, QM9, etc. MD, DFT. Small organic molecules, mostly.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,sGDML Datasets,True,datasets,,http://sgdml.org/#datasets,"MD17, MD22, DFT datasets.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MoleculeNet,True,datasets,,https://moleculenet.org/,A Benchmark for Molecular Machine Learning.,0,True,['benchmarking'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ZINC15,True,datasets,,https://zinc15.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ZINC20,True,datasets,,https://zinc.docking.org/,A free database of commercially-available compounds for virtual screening. ZINC contains over 230 million purchasable..,0,True,"['graph', 'biomolecules']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Quantum Chemistry in the Age of Machine Learning,True,educational,,https://www.elsevier.com/books-and-journals/book-companion/9780323900492,"Book, 2022.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AL4MS 2023 workshop tutorials,True,educational,,https://sites.utu.fi/al4ms2023/media-and-tutorials/,,0,True,['active-learning'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Deep Graph Library (DGL),,rep-learn,Apache-2.0,https://github.com/dmlc/dgl,"Python package built to ease deep learning on graph, on top of existing DL frameworks.",38,True,,dmlc/dgl,https://github.com/dmlc/dgl,2018-04-20 14:49:09,2024-06-14 08:58:12.000,2024-06-14 05:29:56,4133.0,125.0,2902.0,169.0,4745.0,389.0,2313.0,13142.0,2024-05-11 02:59:41,2.2.1,97.0,290.0,dgl,dglteam/dgl,253.0,253.0,https://pypi.org/project/dgl,156924.0,162210.0,https://anaconda.org/dglteam/dgl,2024-05-13 01:05:04.305,348923.0,1.0,,,,,,,,,,,,,,,,,,
21,DeepChem,,general-tool,MIT,https://github.com/deepchem/deepchem,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology.",36,True,,deepchem/deepchem,https://github.com/deepchem/deepchem,2015-09-24 23:20:28,2024-06-14 04:45:10.000,2024-06-07 16:46:39,10476.0,72.0,1577.0,148.0,2326.0,448.0,1236.0,5237.0,2024-04-03 16:21:23,2.8.0,20.0,241.0,deepchem,conda-forge/deepchem,382.0,382.0,https://pypi.org/project/deepchem,22302.0,24599.0,https://anaconda.org/conda-forge/deepchem,2024-04-05 16:46:45.105,107025.0,1.0,deepchemio/deepchem,https://hub.docker.com/r/deepchemio/deepchem,2024-06-08 00:24:28.958995,5.0,7232.0,,,,,,,,,,,,,
22,PyG Models,,rep-learn,MIT,https://github.com/pyg-team/pytorch_geometric/tree/master/torch_geometric/nn/models,Representation learning models implemented in PyTorch Geometric.,35,True,['general-ml'],pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,2017-10-06 16:03:03,2024-06-14 13:05:29.000,2024-06-14 07:24:03,7541.0,111.0,3474.0,253.0,3021.0,831.0,2623.0,20434.0,2024-04-19 11:37:44,2.5.3,40.0,497.0,,,5908.0,5908.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
23,RDKit,,general-tool,BSD-3-Clause,https://github.com/rdkit/rdkit,,32,True,['lang-cpp'],rdkit/rdkit,https://github.com/rdkit/rdkit,2013-05-12 06:19:15,2024-06-14 03:39:48.000,2024-06-14 03:39:48,7756.0,94.0,821.0,83.0,3116.0,902.0,2229.0,2495.0,2024-05-30 16:06:49,Release_2024_03_3,100.0,226.0,rdkit,rdkit/rdkit,3.0,3.0,https://pypi.org/project/rdkit,536404.0,557786.0,https://anaconda.org/rdkit/rdkit,2023-06-16 12:54:07.547,2564715.0,1.0,,,,,,1272.0,,,,,,,,,,,,
