,name,resource,category,homepage,description,projectrank,show,license,labels,github_id,github_url,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,contributor_count,pypi_id,conda_id,recent_commit_count,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,updated_github_id,github_release_downloads,maven_id,maven_url,maven_latest_release_published_at,maven_dependent_project_count,trending,npm_id,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,gitlab_id,gitlab_url,ignore,docs_url
0,ACE / GRACE support,True,community,https://acesupport.zulipchat.com,Support forum for the Atomic Cluster Expansion (ACE) and extensions.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AI for Science Map,True,community,https://www.air4.science/map,"Interactive mindmap of the AI4Science research field, including atomistic machine learning, including papers,..",0,True,GPL-3.0 license,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ASE ecosystem,True,community,https://wiki.fysik.dtu.dk/ase/ecosystem.html,This is a list of software packages related to ASE or using ASE.,0,True,,"['md, ml-iap']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Atomic Cluster Expansion,True,community,https://cortner.github.io/ACEweb/,Atomic Cluster Expansion (ACE) community homepage.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CrystaLLM,True,community,https://crystallm.com,Generate a crystal structure from a composition.,0,True,https://materialis.ai/terms.html,"['language-models', 'generative', 'pretrained', 'transformer']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GAP-ML.org community homepage,True,community,https://gap-ml.org/,,0,True,,['ml-iap'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,matsci.org,True,community,https://matsci.org/,"A community forum for the discussion of anything materials science, with a focus on computational materials science..",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Matter Modeling Stack Exchange - Machine Learning,True,community,https://mattermodeling.stackexchange.com/questions/tagged/machine-learning,"Forum StackExchange, site Matter Modeling, ML-tagged questions.",0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Alexandria Materials Database,True,datasets,https://alexandria.icams.rub.de/,"A database of millions of theoretical crystal structures (3D, 2D and 1D) discovered by machine learning accelerated..",0,True,CC-BY-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Catalysis Hub,True,datasets,https://www.catalysis-hub.org/,A web-platform for sharing data and software for computational catalysis research!.,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
